Date,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF,SEK,NOK
1-Feb-07,98.45219965,98.72970728,98.16302785,98.6706382,99.95668644,100.1459165,98.90399097,98.9581201,98.31236534,98.5114887
1-Mar-07,100.4363285,99.83631341,99.65955446,99.84070928,100.5006624,101.6420797,99.52389262,99.62751371,100.0395602,99.65407925
2-Apr-07,99.7896813,98.72261207,97.96321955,99.16978785,100.6021233,99.87608292,97.51780971,98.74964568,98.81949386,98.5225905
1-May-07,99.70934249,98.28400453,97.18707783,98.72808572,101.0704412,100.4738632,96.47343472,98.34041363,97.59828876,97.46133251
1-Jun-07,97.02176835,95.74525117,95.60134746,95.76354557,99.52826425,98.68230678,95.25672573,95.77480574,95.90041365,95.34860139
2-Jul-07,96.20112882,95.16270655,94.0770816,94.66691447,98.28931001,96.87228391,94.12478484,94.11426161,94.61324715,94.53672402
1-Aug-07,97.29069821,95.68220642,94.71335574,94.23726263,99.34809808,97.7107046,94.19258227,94.18000973,95.20027019,95.02170819
4-Sep-07,99.07328765,96.27297889,95.63108398,96.05696436,100.9402847,97.75758286,95.83207391,95.40436425,96.24626897,95.92652356
1-Oct-07,99.49433691,96.29221845,97.02090115,97.19984965,100.8650212,96.83036013,94.79649984,95.17330411,95.15047587,95.38928809
1-Nov-07,100.8010359,96.86675389,97.23202735,97.21984186,100.9459134,95.10988295,93.06965083,96.16105486,95.83970743,96.11738706
3-Dec-07,104.6295762,97.20962888,99.21554887,99.19180651,102.70815,95.92468158,94.11287193,97.54882997,96.27592729,96.43259957
2-Jan-08,104.383246,96.81567223,100.34594,99.2368603,102.6365013,94.20181601,92.94441838,95.94729861,95.74535001,95.7563682
1-Feb-08,107.4535183,98.64766152,99.96118899,100.4253603,103.5403236,95.14287361,94.4595398,96.88231406,97.55481142,97.50993872
3-Mar-08,106.8226137,99.01830632,99.66520925,101.2001291,104.0419608,93.03781821,93.26574823,96.84377016,96.72839556,98.03043607
1-Apr-08,107.3705103,97.89938758,99.38874586,101.4831394,104.8916501,94.70396779,93.70852763,95.41961716,96.34702986,97.75515195
2-May-08,105.38326,96.35789216,97.80879837,102.563086,101.8533055,94.07713299,94.24924425,94.59040966,95.52158567,96.13752957
2-Jun-08,103.8535069,95.42234815,96.24428234,102.1165029,100.0145303,92.59228815,93.90119256,94.07049243,93.99046491,95.02791009
1-Jul-08,103.8516541,93.11613685,94.33215337,101.9077754,101.2944958,92.25173137,95.30183386,92.83721969,92.29577864,92.85145014
1-Aug-08,103.9973491,94.63972244,96.80514253,103.1968295,102.8740632,94.75553242,96.66438161,95.31664846,93.63602505,93.77646337
2-Sep-08,105.8212386,96.17435458,98.90267827,104.7077376,103.5184257,98.17294334,97.17697303,96.39492312,95.02210324,94.47560593
1-Oct-08,107.3838393,96.44965625,99.21857318,103.0019204,103.5736591,99.38228728,99.60791999,96.34174767,97.28039975,96.15180922
