Date,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF,SEK,NOK
2-Jan-03,100.00,100.00,100.00,#N/A,#N/A,#N/A,#N/A,#N/A,100.00,100.00
3-Jan-03,100.08,99.98,100.10,100.00,#N/A,#N/A,#N/A,100.00,99.49,99.61
6-Jan-03,99.94,100.11,99.99,99.77,100.00,#N/A,#N/A,100.23,99.49,99.83
7-Jan-03,100.45,100.52,100.11,100.28,100.01,#N/A,#N/A,100.74,99.69,99.90
8-Jan-03,100.22,101.14,100.64,100.60,100.22,#N/A,#N/A,100.70,100.17,100.34
9-Jan-03,98.87,100.80,100.39,99.80,100.25,#N/A,#N/A,99.99,100.09,100.34
10-Jan-03,99.25,100.92,100.52,99.82,100.16,#N/A,#N/A,99.86,100.13,100.53
13-Jan-03,99.27,100.73,100.17,99.72,100.16,#N/A,#N/A,99.78,99.82,100.39
14-Jan-03,99.82,100.99,100.26,99.78,100.17,#N/A,#N/A,100.06,99.98,100.53
15-Jan-03,100.06,101.05,100.34,99.83,100.47,#N/A,#N/A,99.84,99.99,100.43
16-Jan-03,99.92,101.08,100.46,100.16,100.58,#N/A,#N/A,99.86,100.16,100.70
17-Jan-03,100.51,101.67,101.11,100.43,100.68,#N/A,#N/A,100.18,100.79,101.11
21-Jan-03,100.94,102.16,101.44,100.72,100.80,#N/A,#N/A,100.33,101.04,101.70
22-Jan-03,101.29,102.22,101.30,100.57,100.80,#N/A,#N/A,100.43,101.12,101.81
23-Jan-03,101.15,102.52,101.51,100.57,100.81,#N/A,#N/A,100.45,101.09,101.70
24-Jan-03,101.16,103.04,102.25,100.63,100.81,#N/A,#N/A,100.95,101.86,102.00
27-Jan-03,100.88,102.70,102.17,100.52,100.92,#N/A,#N/A,100.91,102.00,102.13
28-Jan-03,100.76,102.60,102.17,100.27,101.02,#N/A,#N/A,100.65,101.86,102.07
29-Jan-03,100.33,102.49,102.17,99.76,101.13,#N/A,#N/A,100.66,102.26,102.33
30-Jan-03,100.98,102.21,101.85,99.43,101.45,#N/A,#N/A,100.37,101.88,102.34
31-Jan-03,100.98,102.32,101.83,99.75,101.05,#N/A,#N/A,100.28,101.84,103.03
3-Feb-03,100.67,102.30,101.72,99.49,101.05,#N/A,#N/A,100.07,101.56,102.84
4-Feb-03,101.28,102.78,102.26,99.63,100.76,#N/A,#N/A,100.39,102.21,103.38
5-Feb-03,100.74,102.20,101.74,99.16,100.66,#N/A,#N/A,100.35,102.17,103.53
6-Feb-03,101.18,102.77,102.41,99.55,100.68,#N/A,#N/A,100.28,102.10,103.57
7-Feb-03,101.32,102.95,102.63,99.74,100.89,#N/A,#N/A,100.24,102.35,103.88
10-Feb-03,101.10,102.61,102.34,99.39,101.09,#N/A,#N/A,100.16,102.35,103.80
11-Feb-03,101.26,102.92,102.64,99.44,101.09,#N/A,#N/A,100.17,102.08,103.60
12-Feb-03,101.61,103.31,103.01,99.86,100.90,#N/A,#N/A,100.49,102.36,103.87
13-Feb-03,102.07,103.75,103.28,100.10,101.02,#N/A,#N/A,100.83,102.74,104.09
14-Feb-03,101.41,103.19,102.69,99.70,101.02,#N/A,#N/A,100.43,102.46,104.01
18-Feb-03,101.59,103.18,102.51,99.59,100.73,#N/A,#N/A,100.63,102.22,103.12
19-Feb-03,102.11,103.80,103.03,99.78,100.83,#N/A,#N/A,100.96,102.55,103.23
20-Feb-03,102.31,103.95,103.20,100.06,100.95,#N/A,#N/A,100.98,102.80,103.61
