date,USD,EUR,GBP,CAD,JPY,AUD,NZD,CHF,SEK,NOK
30-Jan-07,5.40,4.35,5.35,4.64,1.86,6.38,7.04,2.93,4.48,5.22
31-Jan-07,5.33,4.34,5.34,4.58,1.85,6.38,7.01,2.94,4.46,5.22
1-Feb-07,5.36,4.34,5.37,4.61,1.87,6.38,6.99,2.93,4.44,5.19
2-Feb-07,5.32,4.32,5.37,4.59,1.87,6.39,6.98,2.90,4.45,5.20
5-Feb-07,5.29,4.28,5.35,4.57,1.88,6.31,7.03,2.88,4.36,5.18
6-Feb-07,5.26,4.28,5.34,4.53,1.90,6.27,6.99,2.90,4.37,5.17
7-Feb-07,5.24,4.26,5.32,4.51,1.89,6.27,6.92,2.89,4.37,5.17
8-Feb-07,5.23,4.29,5.28,4.50,1.88,6.24,6.90,2.88,4.39,5.19
9-Feb-07,5.30,4.33,5.34,4.57,1.86,6.27,6.91,2.90,4.41,5.19
12-Feb-07,5.33,4.35,5.35,4.60,1.84,6.31,6.94,2.92,4.41,5.22
13-Feb-07,5.32,4.34,5.32,4.63,1.90,6.32,6.94,2.94,4.42,5.24
14-Feb-07,5.24,4.32,5.32,4.55,1.89,6.28,6.96,2.92,4.40,5.25
15-Feb-07,5.21,4.28,5.23,4.53,1.90,6.26,6.92,2.90,4.29,5.18
16-Feb-07,5.20,4.29,5.24,4.52,1.88,6.25,6.92,2.91,4.30,5.19
20-Feb-07,5.18,4.28,5.27,4.48,1.87,6.28,6.91,2.93,4.36,5.18
21-Feb-07,5.20,4.28,5.27,4.51,1.85,6.28,6.94,2.92,4.33,5.17
22-Feb-07,5.24,4.33,5.31,4.55,1.83,6.32,6.96,2.95,4.36,5.16
23-Feb-07,5.19,4.27,5.26,4.52,1.83,6.31,6.97,2.93,4.32,5.13
26-Feb-07,5.16,4.23,5.21,4.48,1.82,6.24,6.93,2.90,4.30,5.10
27-Feb-07,5.06,4.16,5.17,4.42,1.80,6.17,6.88,2.87,4.28,5.08
28-Feb-07,5.11,4.20,5.17,4.47,1.81,6.22,6.92,2.86,4.27,5.06
1-Mar-07,5.09,4.20,5.16,4.46,1.81,6.20,6.94,2.86,4.24,5.05
2-Mar-07,5.06,4.18,5.15,4.43,1.81,6.16,6.95,2.87,4.24,5.03
5-Mar-07,5.06,4.16,5.13,4.42,1.77,6.15,6.96,2.88,4.22,5.03
6-Mar-07,5.07,4.18,5.15,4.43,1.78,6.18,6.97,2.88,4.23,5.07
7-Mar-07,5.02,4.15,5.15,4.37,1.76,6.08,6.94,2.88,4.24,5.07
8-Mar-07,5.05,4.17,5.16,4.39,1.78,6.19,6.97,2.90,4.22,5.07
9-Mar-07,5.13,4.21,5.20,4.47,1.78,6.23,6.98,2.92,4.25,5.10
12-Mar-07,5.09,4.18,5.19,4.45,1.77,6.22,7.04,2.89,4.23,5.09
13-Mar-07,5.04,4.14,5.14,4.41,1.76,6.14,7.04,2.87,4.21,5.08
14-Mar-07,5.07,4.17,5.13,4.46,1.73,6.17,7.04,2.85,4.20,5.06
